                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.60809,                0.52396,                0.86815,                0.99741,                      1,                  0.995,                0.90702,                0.45256,                0.40623,                 0.8115,              0.0015515,              0.0015515,              0.0015515
                     38,                0.58241,                0.50612,                0.87665,                 0.9973,                      1,                  0.995,                0.90442,                0.46063,                0.40103,                0.81446,              0.0015482,              0.0015482,              0.0015482
                     39,                0.62129,                0.52436,                0.87311,                0.99525,                      1,                  0.995,                0.88962,                0.50651,                0.42106,                0.82547,              0.0015449,              0.0015449,              0.0015449
                     40,                0.63071,                0.53515,                0.88094,                0.99562,                      1,                  0.995,                0.91324,                0.44041,                0.40769,                0.81282,              0.0015416,              0.0015416,              0.0015416
                     41,                0.59367,                0.50686,                0.87149,                0.99708,                      1,                  0.995,                0.90098,                0.45242,                0.39825,                0.81688,              0.0015383,              0.0015383,              0.0015383
                     42,                0.55579,                0.50255,                0.87964,                0.99668,                      1,                  0.995,                0.89544,                0.43792,                0.37747,                0.81137,               0.001535,               0.001535,               0.001535
                     43,                0.54749,                 0.4735,                0.86186,                0.99704,                      1,                  0.995,                0.91296,                0.41649,                0.38652,                0.81052,              0.0015317,              0.0015317,              0.0015317
                     44,                0.60224,                0.50268,                0.86994,                0.99583,                      1,                  0.995,                0.89556,                  0.483,                0.38721,                0.81848,              0.0015284,              0.0015284,              0.0015284
                     45,                 0.5978,                0.49418,                0.85586,                0.99728,                      1,                  0.995,                0.89492,                0.46837,                0.39043,                0.81515,              0.0015251,              0.0015251,              0.0015251
                     46,                0.58615,                0.49791,                0.86062,                0.99743,                      1,                  0.995,                0.91033,                0.45138,                 0.3617,                0.81274,              0.0015218,              0.0015218,              0.0015218
                     47,                0.57429,                0.46748,                 0.8551,                0.99664,                      1,                  0.995,                 0.8966,                0.46172,                0.34838,                0.81919,              0.0015185,              0.0015185,              0.0015185
                     48,                0.58186,                0.48165,                0.86462,                0.99608,                      1,                  0.995,                0.89679,                0.48161,                0.36496,                0.82185,              0.0015152,              0.0015152,              0.0015152
                     49,                0.57394,                0.45018,                0.85301,                0.99592,                      1,                  0.995,                0.89399,                0.47072,                0.35449,                0.81691,              0.0015119,              0.0015119,              0.0015119
