                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63407,                0.75187,                 0.9315,                0.96161,                0.98016,                  0.995,                 0.8855,                0.53832,                 0.7533,                0.79466,              0.0013328,              0.0013328,              0.0013328
                     37,                0.61437,                0.76261,                0.90194,                0.97538,                      1,                  0.995,                0.88646,                0.47799,                0.66089,                0.78552,                0.00133,                0.00133,                0.00133
                     38,                0.59719,                0.71931,                0.92322,                0.98212,                      1,                  0.995,                0.90481,                0.43924,                0.60628,                0.78265,              0.0013271,              0.0013271,              0.0013271
                     39,                0.66534,                0.72586,                0.91866,                0.98821,                      1,                  0.995,                0.90964,                0.47934,                0.58796,                0.78744,              0.0013243,              0.0013243,              0.0013243
                     40,                0.59191,                0.71355,                0.90262,                0.98878,                      1,                  0.995,                0.88935,                0.53448,                 0.5698,                0.80114,              0.0013215,              0.0013215,              0.0013215
                     41,                0.63093,                0.73011,                0.89969,                0.97652,                      1,                  0.995,                0.90377,                 0.5113,                0.63301,                0.79246,              0.0013187,              0.0013187,              0.0013187
                     42,                 0.5824,                0.69732,                0.90197,                 0.9807,                      1,                  0.995,                0.89931,                0.49865,                0.60863,                 0.7899,              0.0013158,              0.0013158,              0.0013158
                     43,                0.58235,                0.66597,                0.88408,                0.99215,                      1,                  0.995,                0.89003,                 0.5191,                0.63328,                0.79586,               0.001313,               0.001313,               0.001313
                     44,                0.63551,                0.66429,                0.90199,                0.99257,                      1,                  0.995,                0.89811,                 0.4985,                0.64958,                0.79541,              0.0013102,              0.0013102,              0.0013102
                     45,                0.58813,                0.65221,                0.90917,                0.98464,                      1,                  0.995,                0.91034,                0.47932,                0.59075,                0.79269,              0.0013073,              0.0013073,              0.0013073
                     46,                0.57382,                0.62041,                0.88645,                0.98527,                      1,                  0.995,                0.90969,                0.48375,                 0.5604,                0.79254,              0.0013045,              0.0013045,              0.0013045
                     47,                0.58706,                0.67012,                0.91164,                0.98464,                      1,                  0.995,                0.89629,                 0.4748,                0.55973,                0.79049,              0.0013017,              0.0013017,              0.0013017
                     48,                0.60848,                 0.6378,                0.88965,                0.98513,                      1,                  0.995,                0.89293,                 0.4878,                0.54975,                0.79643,              0.0012988,              0.0012988,              0.0012988
                     49,                0.59972,                0.64877,                0.90194,                0.98989,                      1,                  0.995,                0.88301,                 0.5249,                0.54042,                0.80264,               0.001296,               0.001296,               0.001296
                     50,                0.63814,                0.64166,                0.91302,                0.98734,                0.99719,                  0.995,                 0.8905,                0.50435,                0.54298,                 0.7957,              0.0012932,              0.0012932,              0.0012932
                     51,                0.55603,                0.63211,                0.89658,                0.98215,                0.99822,                  0.995,                0.89863,                 0.4905,                0.54759,                0.78519,              0.0012904,              0.0012904,              0.0012904
                     52,                 0.5792,                0.61687,                0.88293,                 0.9861,                      1,                  0.995,                0.89732,                0.49038,                0.51986,                0.78571,              0.0012875,              0.0012875,              0.0012875
                     53,                0.57423,                0.59039,                0.88107,                0.99356,                      1,                  0.995,                0.88757,                0.51116,                 0.4913,                0.80001,              0.0012847,              0.0012847,              0.0012847
                     54,                0.62129,                0.60892,                0.89101,                0.99145,                      1,                  0.995,                0.88591,                0.52735,                0.48677,                0.80611,              0.0012819,              0.0012819,              0.0012819
                     55,                0.55457,                0.58991,                0.86998,                0.98346,                      1,                  0.995,                0.90022,                 0.5107,                0.51618,                0.80165,               0.001279,               0.001279,               0.001279
