                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76666,                0.86723,                0.92004,                 0.9591,                   0.25,                  0.995,                0.83061,                0.73532,                 2.2017,                0.88603,             0.00080444,             0.00080444,             0.00080444
                     36,                0.77445,                0.89234,                0.92977,                 0.9595,                 0.4229,                  0.995,                0.84369,                0.72199,                 2.1219,                0.87946,               0.000826,               0.000826,               0.000826
                     37,                0.76823,                0.87209,                0.90569,                 0.9595,                 0.4229,                  0.995,                0.84369,                0.72199,                 2.1219,                0.87946,             0.00084746,             0.00084746,             0.00084746
                     38,                 0.7941,                0.93658,                0.95511,                0.89668,                0.45612,                  0.995,                0.83575,                 0.6836,                 2.0238,                0.87712,             0.00086882,             0.00086882,             0.00086882
                     39,                0.75422,                0.82254,                  0.915,                0.86858,                    0.5,                  0.995,                0.85659,                0.66732,                 1.8036,                0.89081,             0.00089008,             0.00089008,             0.00089008
                     40,                0.69649,                0.79319,                0.93566,                0.86858,                    0.5,                  0.995,                0.85659,                0.66732,                 1.8036,                0.89081,             0.00091125,             0.00091125,             0.00091125
                     41,                0.76489,                0.83254,                0.93687,                0.87004,                0.56837,                  0.995,                 0.8318,                0.72242,                 1.7187,                0.91977,             0.00093231,             0.00093231,             0.00093231
                     42,                0.74321,                 0.9132,                0.90097,                0.90506,                    0.5,                  0.995,                0.83807,                0.71096,                 1.7001,                0.92472,             0.00095328,             0.00095328,             0.00095328
                     43,                 0.7389,                0.79036,                 0.9093,                0.90506,                    0.5,                  0.995,                0.83807,                0.71096,                 1.7001,                0.92472,             0.00097414,             0.00097414,             0.00097414
                     44,                0.74659,                0.84521,                0.93003,                0.90314,                0.55515,                  0.995,                0.86514,                0.67806,                 1.8683,                0.90429,             0.00099491,             0.00099491,             0.00099491
                     45,                0.81686,                 0.9076,                 0.9462,                0.90314,                0.55515,                  0.995,                0.86514,                0.67806,                 1.8683,                0.90429,              0.0010156,              0.0010156,              0.0010156
                     46,                0.75122,                0.81955,                 0.9062,                0.88729,                0.71627,                0.95393,                0.79596,                0.71056,                 1.9478,                0.90023,              0.0010361,              0.0010361,              0.0010361
                     47,                0.76687,                0.89714,                0.93072,                0.88729,                0.71627,                0.95393,                0.79596,                0.71056,                 1.9478,                0.90023,              0.0010566,              0.0010566,              0.0010566
                     48,                0.76798,                0.85379,                0.93868,                0.82917,                0.89591,                0.96167,                0.77083,                 0.7076,                 1.7126,                0.90973,               0.001077,               0.001077,               0.001077
                     49,                0.77613,                0.91388,                 0.9973,                0.82917,                0.89591,                0.96167,                0.77083,                 0.7076,                 1.7126,                0.90973,              0.0010973,              0.0010973,              0.0010973
                     50,                0.70941,                0.82041,                0.90322,                0.91032,                0.72441,                0.97071,                 0.8208,                0.63077,                  1.713,                0.88747,              0.0011174,              0.0011174,              0.0011174
